ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
355227568,1.69E+15,7/14/2023 18:32,BTC-PERPETUAL,trade,open sell,30170,-30170,30120,30168.09,30188.18,0,0,0.05,0.00050083,0,-0.00050083,99.95771984,100.08,172123949,16721477142,Source: 'api:OfelyaRza'
355224473,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,42210,0,30401.5,30396.78,30396.73,0.03209291,0,0.05,0.00069421,0,-0.00069421,99.95822067,100.08,172122404,16721443001,Source: api
355224472,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,9650,-42210,30400.5,30396.78,30396.73,0.00734749,0,0.05,0.00015871,0,-0.00015871,99.95891488,100.08,172122403,16721443001,Source: api
355224471,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,12740,-51860,30400,30396.78,30396.73,0.0097071,0,0.05,0.00020954,0,-0.00020954,99.9590736,100.08,172122402,16721443001,Source: api
355224470,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,160,-64600,30399.5,30396.78,30396.73,0.000122,0,0.05,0.00000263,0,-0.00000263,99.95928314,100.08,172122401,16721443001,Source: api
355224469,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,8210,-64760,30398.5,30396.78,30396.73,0.00626884,0,0.05,0.00013504,0,-0.00013504,99.95928577,100.08,172122400,16721443001,Source: api
355224468,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,32000,-72970,30397.5,30396.78,30396.73,0.0244686,0,0.05,0.00052636,0,-0.00052636,99.95942081,100.08,172122399,16721443001,Source: api
355224467,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,7790,-104970,30396.5,30396.78,30396.73,0.00596501,0,0.05,0.00012814,0,-0.00012814,99.95994717,100.08,172122398,16721443001,Source: api
355224466,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,7000,-112760,30396,30396.78,30396.73,0.00536387,0,0.05,0.00011515,0,-0.00011515,99.96007531,100.08,172122397,16721443001,Source: api
355224465,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,800,-119760,30395.5,30396.78,30396.73,0.00061345,0,0.05,0.00001316,0,-0.00001316,99.96019045,100.08,172122396,16721443001,Source: api
355224464,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,10,-120560,30390,30396.78,30396.73,0.00000773,0,0.052,1.70E-07,0,-1.70E-07,99.96020361,100.08,172122395,16721443001,Source: api
355224463,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,120,-120570,30387.5,30396.78,30396.73,0.00009306,0,0.05,0.00000197,0,-0.00000197,99.96020378,100.08,172122394,16721443001,Source: api
355224462,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,100,-120690,30387,30396.78,30396.73,0.0000776,0,0.05,0.00000165,0,-0.00000165,99.96020575,100.08,172122393,16721443001,Source: api
355224461,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,30400,-120790,30387,30396.78,30396.73,0.02359074,0,0.05,0.00050021,0,-0.00050021,99.9602074,100.08,172122392,16721443001,Source: api
355224460,1.69E+15,7/14/2023 18:29,BTC-PERPETUAL,trade,close buy,4300,-151190,30387,30396.78,30396.73,0.00333685,0.00130039,0.05,0.00007075,0,-0.00007075,99.96070761,100.08,172122391,16721443001,Source: api
355017411,1.69E+15,7/14/2023 8:00,BTC-PERPETUAL,settlement,short,-155490,-155490,31120.85,0,0,-0.00916039,0.0017416,-,0,0,-0.00916039,99.96077837,99.96,,,
